Edad;Id_animal;Tipo;Raza;color;Fecha_de_nac;Fecha_y_Hora;Mes_y_ano;Nombre;Tipo_resultado;Adquisicion;Esterilizado
7 years;A537127;Dog;Miniature Poodle Mix;Chocolate;2007-03-09T00:00:00;2014-07-10T13:13:00;2014-07-10T13:13:00;Fozzy Bear;;Return to Owner;Neutered Male
2 months;A662820;Cat;Domestic Shorthair Mix;Black;2013-07-18T00:00:00;2013-10-04T12:54:00;2013-10-04T12:54:00;*Indigo;;Adoption;Spayed Female
1 year;A693601;Dog;Black Mouth Cur Mix;Tan/White;2013-09-11T00:00:00;2014-12-15T14:10:00;2014-12-15T14:10:00;Camden;;Return to Owner;Neutered Male
0 years;A693138;Other;Rabbit Sh Mix;Pink;2014-12-02T00:00:00;2014-12-02T19:01:00;2014-12-02T19:01:00;;Partner;Transfer;Unknown
1 month;A664211;Cat;Domestic Medium Hair;Blue Tabby;2013-08-30T00:00:00;2013-10-17T15:34:00;2013-10-17T15:34:00;*Arnold;Partner;Transfer;Intact Male
2 years;A682721;Dog;Chow Chow Mix;Buff;2012-07-02T00:00:00;2014-07-07T11:19:00;2014-07-07T11:19:00;Gunner;;Return to Owner;Neutered Male
3 years;A693426;Other;Bat;Brown/Black;2011-12-07T00:00:00;2014-12-07T16:35:00;2014-12-07T16:35:00;;Rabies Risk;Euthanasia;Intact Female
3 years;A667023;Dog;Miniature Poodle;White;2010-11-11T00:00:00;2013-12-11T11:11:00;2013-12-11T11:11:00;Yeti;Foster;Adoption;Spayed Female
1 year;A685041;Other;Bat;Brown;2013-08-01T00:00:00;2014-08-01T15:05:00;2014-08-01T15:05:00;;Rabies Risk;Euthanasia;Unknown
1 year;A669526;Other;Bat Mix;Brown;2012-12-21T00:00:00;2013-12-22T09:20:00;2013-12-22T09:20:00;;Rabies Risk;Euthanasia;Unknown
2 years;A676355;Dog;Pit Bull Mix;Brown/White;2012-04-08T00:00:00;2014-04-25T16:04:00;2014-04-25T16:04:00;*Farley;Aggressive;Euthanasia;Neutered Male
2 years;A671162;Other;Bat;Brown/Black;2012-01-20T00:00:00;2014-01-20T08:08:00;2014-01-20T08:08:00;;Rabies Risk;Euthanasia;Unknown
1 year;A672214;Dog;Labrador Retriever/Border Collie;White/Black;2012-08-05T00:00:00;2014-02-13T16:57:00;2014-02-13T16:57:00;;Partner;Transfer;Spayed Female
